station,neighbors,neighbor_dists
南阿佐ケ谷駅,阿佐ケ谷駅|新高円寺駅|高円寺駅|荻窪駅|東高円寺駅,0.58|1.12|1.40|1.51|2.00
中野新橋駅,中野富士見町駅|新中野駅|西新宿五丁目駅|中野坂上駅|東高円寺駅,0.66|0.75|0.96|0.98|1.59
中野富士見町駅,中野新橋駅|新中野駅|東高円寺駅|方南町駅|西新宿五丁目駅,0.66|0.80|1.15|1.22|1.57
方南町駅,中野富士見町駅|代田橋駅|笹塚駅|永福町駅|東高円寺駅,1.22|1.40|1.45|1.48|1.59
三ノ輪駅,三ノ輪橋駅|荒川一中前駅|荒川区役所前駅|南千住駅|荒川二丁目駅,0.29|0.50|0.74|0.80|1.17
入谷駅,鶯谷駅|稲荷町駅|上野駅|田原町駅|三ノ輪駅,0.56|0.96|0.96|1.27|1.28
仲御徒町駅,御徒町駅|上野御徒町駅|上野広小路駅|新御徒町駅|京成上野駅,0.15|0.21|0.32|0.53|0.56
小伝馬町駅,馬喰横山駅|馬喰町駅|新日本橋駅|岩本町駅|東日本橋駅,0.42|0.46|0.52|0.58|0.60
人形町駅,水天宮前駅|浜町駅|小伝馬町駅|馬喰横山駅|東日本橋駅,0.49|0.58|0.60|0.65|0.69
茅場町駅,日本橋駅|水天宮前駅|八丁堀駅|人形町駅|宝町駅,0.57|0.58|0.61|0.76|0.88
築地駅,新富町駅|東銀座駅|築地市場駅|宝町駅|八丁堀駅,0.28|0.51|0.63|0.82|0.85
東銀座駅,銀座駅|築地駅|築地市場駅|銀座一丁目駅|新富町駅,0.41|0.51|0.51|0.54|0.59
日比谷駅,有楽町駅|銀座駅|銀座一丁目駅|内幸町駅|二重橋前駅,0.37|0.51|0.67|0.68|0.71
虎ノ門ヒルズ駅,虎ノ門駅|神谷町駅|内幸町駅|国会議事堂前駅|霞ケ関駅,0.36|0.55|0.75|0.76|0.76
神谷町駅,虎ノ門ヒルズ駅|御成門駅|六本木一丁目駅|赤羽橋駅|虎ノ門駅,0.55|0.62|0.62|0.89|0.91
六本木駅,乃木坂駅|六本木一丁目駅|麻布十番駅|神谷町駅|青山一丁目駅,0.59|0.72|0.98|1.22|1.24
広尾駅,恵比寿駅|麻布十番駅|六本木駅|白金高輪駅|乃木坂駅,1.27|1.35|1.49|1.50|1.63
落合駅,中井駅|東中野駅|下落合駅|新井薬師前駅|落合南長崎駅,0.40|0.57|0.91|1.43|1.45
早稲田駅,面影橋駅|西早稲田駅|若松河田駅|学習院下駅|牛込柳町駅,0.69|1.00|1.08|1.08|1.12
神楽坂駅,牛込神楽坂駅|江戸川橋駅|飯田橋駅|牛込柳町駅|市ケ谷駅,0.35|0.64|0.93|0.98|1.35
九段下駅,神保町駅|竹橋駅|水道橋駅|飯田橋駅|御茶ノ水駅,0.53|0.70|0.83|0.97|1.24
竹橋駅,神保町駅|九段下駅|大手町駅|小川町駅|淡路町駅,0.58|0.70|0.88|1.01|1.10
門前仲町駅,越中島駅|木場駅|清澄白河駅|月島駅|水天宮前駅,0.54|1.02|1.16|1.33|1.55
木場駅,東陽町駅|門前仲町駅|越中島駅|潮見駅|清澄白河駅,0.95|1.02|1.30|1.50|1.60
東陽町駅,木場駅|南砂町駅|潮見駅|門前仲町駅|住吉駅,0.95|1.18|1.21|1.94|2.17
南砂町駅,東陽町駅|潮見駅|木場駅|西大島駅|大島駅,1.18|1.64|2.13|2.32|2.39
西葛西駅,葛西駅|船堀駅|葛西臨海公園駅|南砂町駅|東大島駅,1.20|2.17|2.26|2.62|3.10
葛西駅,西葛西駅|葛西臨海公園駅|船堀駅|一之江駅|南砂町駅,1.20|2.34|2.37|2.67|3.81
北綾瀬駅,青井駅|六町駅|綾瀬駅|亀有駅|五反野駅,1.21|1.27|1.77|1.83|2.37
千駄木駅,日暮里駅|西日暮里駅|本駒込駅|根津駅|東大前駅,0.77|0.79|0.86|0.93|1.00
根津駅,東大前駅|千駄木駅|京成上野駅|湯島駅|上野駅,0.69|0.93|0.99|1.09|1.13
湯島駅,上野広小路駅|上野御徒町駅|御徒町駅|京成上野駅|仲御徒町駅,0.27|0.40|0.45|0.47|0.59
新御茶ノ水駅,御茶ノ水駅|淡路町駅|小川町駅|秋葉原駅|末広町駅,0.24|0.33|0.34|0.71|0.75
二重橋前駅,東京駅|大手町駅|有楽町駅|日比谷駅|京橋駅,0.37|0.58|0.63|0.71|0.87
赤坂駅,溜池山王駅|赤坂見附駅|国会議事堂前駅|永田町駅|六本木一丁目駅,0.28|0.44|0.62|0.64|0.85
乃木坂駅,六本木駅|青山一丁目駅|外苑前駅|六本木一丁目駅|表参道駅,0.59|0.72|0.87|1.16|1.26
明治神宮前〈原宿〉駅,原宿駅|表参道駅|北参道駅|渋谷駅|外苑前駅,0.28|0.79|1.08|1.13|1.20
代々木公園駅,代々木八幡駅|代々木上原駅|参宮橋駅|原宿駅|駒場東大前駅,0.06|0.81|1.12|1.23|1.24
地下鉄成増駅,成増駅|下赤塚駅|地下鉄赤塚駅|光が丘駅|西高島平駅,0.17|1.35|1.35|2.02|2.14
地下鉄赤塚駅,下赤塚駅|成増駅|地下鉄成増駅|平和台駅|東武練馬駅,0.08|1.34|1.35|1.60|1.62
平和台駅,氷川台駅|練馬春日町駅|東武練馬駅|地下鉄赤塚駅|下赤塚駅,1.41|1.41|1.41|1.60|1.64
氷川台駅,新桜台駅|桜台駅|小竹向原駅|平和台駅|江古田駅,1.01|1.22|1.33|1.41|1.48
千川駅,要町駅|東長崎駅|小竹向原駅|椎名町駅|江古田駅,1.02|1.06|1.15|1.37|1.48
要町駅,椎名町駅|千川駅|池袋駅|東長崎駅|目白駅,0.84|1.02|1.12|1.43|1.57
東池袋駅,東池袋四丁目駅|都電雑司ヶ谷駅|向原駅|鬼子母神前駅|雑司が谷駅,0.07|0.21|0.60|0.73|0.75
護国寺駅,新大塚駅|茗荷谷駅|東池袋四丁目駅|東池袋駅|都電雑司ヶ谷駅,0.77|0.90|0.97|1.03|1.04
江戸川橋駅,神楽坂駅|茗荷谷駅|牛込神楽坂駅|護国寺駅|早稲田駅,0.64|0.89|0.98|1.19|1.21
麹町駅,半蔵門駅|永田町駅|四ツ谷駅|赤坂見附駅|市ケ谷駅,0.41|0.63|0.69|0.78|0.86
永田町駅,赤坂見附駅|溜池山王駅|麹町駅|赤坂駅|国会議事堂前駅,0.35|0.58|0.63|0.64|0.70
桜田門駅,霞ケ関駅|国会議事堂前駅|日比谷駅|虎ノ門駅|内幸町駅,0.40|0.68|0.78|0.81|0.93
銀座一丁目駅,有楽町駅|銀座駅|京橋駅|宝町駅|東銀座駅,0.34|0.38|0.39|0.44|0.54
新富町駅,築地駅|八丁堀駅|宝町駅|東銀座駅|銀座一丁目駅,0.28|0.58|0.58|0.59|0.74
月島駅,越中島駅|勝どき駅|築地駅|新富町駅|八丁堀駅,0.84|1.00|1.11|1.13|1.26
豊洲駅,新豊洲駅|市場前駅|越中島駅|月島駅|辰巳駅,0.82|1.33|1.53|1.57|1.65
辰巳駅,東雲駅|新木場駅|潮見駅|豊洲駅|新豊洲駅,0.75|1.49|1.58|1.65|1.88
半蔵門駅,麹町駅|永田町駅|市ケ谷駅|市ヶ谷駅|四ツ谷駅,0.41|0.78|0.82|0.82|1.02
神保町駅,九段下駅|竹橋駅|御茶ノ水駅|新御茶ノ水駅|小川町駅,0.53|0.58|0.77|0.78|0.81
水天宮前駅,人形町駅|茅場町駅|浜町駅|日本橋駅|東日本橋駅,0.49|0.58|0.69|1.01|1.05
清澄白河駅,森下駅|菊川駅|門前仲町駅|浜町駅|水天宮前駅,0.67|0.95|1.16|1.20|1.22
住吉駅,菊川駅|錦糸町駅|西大島駅|亀戸駅|森下駅,0.87|0.89|0.95|1.36|1.68
赤羽岩淵駅,赤羽駅|志茂駅|北赤羽駅|東十条駅|王子神谷駅,0.61|1.12|1.53|2.22|2.38
志茂駅,赤羽駅|赤羽岩淵駅|王子神谷駅|東十条駅|十条駅,1.05|1.12|1.45|1.65|2.17
王子神谷駅,東十条駅|王子駅|十条駅|王子駅前駅|志茂駅,0.83|1.33|1.35|1.40|1.45
西ケ原駅,上中里駅|栄町駅|滝野川一丁目駅|飛鳥山駅|梶原駅,0.34|0.54|0.64|0.65|0.73
本駒込駅,白山駅|東大前駅|千駄木駅|千石駅|根津駅,0.34|0.82|0.86|0.92|1.30
東大前駅,白山駅|根津駅|本駒込駅|春日駅|千駄木駅,0.68|0.69|0.82|0.99|1.00
六本木一丁目駅,神谷町駅|六本木駅|虎ノ門ヒルズ駅|赤坂駅|溜池山王駅,0.62|0.72|0.82|0.85|0.92
麻布十番駅,赤羽橋駅|六本木駅|神谷町駅|六本木一丁目駅|芝公園駅,0.64|0.98|1.12|1.13|1.21
白金高輪駅,泉岳寺駅|白金台駅|高輪ゲートウェイ駅|田町駅|高輪台駅,0.71|0.91|1.01|1.26|1.29
白金台駅,高輪台駅|白金高輪駅|目黒駅|泉岳寺駅|五反田駅,0.79|0.91|1.08|1.26|1.32
雑司が谷駅,鬼子母神前駅|学習院下駅|都電雑司ヶ谷駅|東池袋四丁目駅|東池袋駅,0.02|0.49|0.53|0.73|0.75
西早稲田駅,高田馬場駅|面影橋駅|学習院下駅|早稲田駅|東新宿駅,0.69|0.71|0.94|1.00|1.10
東新宿駅,新大久保駅|西武新宿駅|新宿三丁目駅|新宿西口駅|大久保駅,0.71|0.72|0.87|0.95|0.96
北参道駅,代々木駅|千駄ケ谷駅|南新宿駅|国立競技場駅|原宿駅,0.61|0.64|0.83|0.87|0.90
都庁前駅,西新宿駅|新線新宿駅|新宿西口駅|新宿駅|西新宿五丁目駅,0.42|0.60|0.67|0.68|0.75
新宿西口駅,西武新宿駅|新宿駅|新線新宿駅|西新宿駅|新宿三丁目駅,0.34|0.38|0.51|0.59|0.62
若松河田駅,牛込柳町駅|曙橋駅|東新宿駅|早稲田駅|四谷三丁目駅,0.62|0.87|0.96|1.08|1.26
牛込柳町駅,若松河田駅|曙橋駅|神楽坂駅|牛込神楽坂駅|早稲田駅,0.62|0.81|0.98|0.98|1.12
牛込神楽坂駅,神楽坂駅|飯田橋駅|江戸川橋駅|牛込柳町駅|市ケ谷駅,0.35|0.81|0.98|0.98|1.01
春日駅,後楽園駅|本郷三丁目駅|水道橋駅|東大前駅|飯田橋駅,0.23|0.67|0.78|0.99|1.14
上野御徒町駅,御徒町駅|上野広小路駅|仲御徒町駅|京成上野駅|湯島駅,0.08|0.13|0.21|0.38|0.40
新御徒町駅,稲荷町駅|仲御徒町駅|御徒町駅|上野御徒町駅|上野駅,0.47|0.53|0.65|0.69|0.81
蔵前駅,田原町駅|浅草橋駅|両国駅|新御徒町駅|浅草駅,0.74|0.82|0.86|0.91|1.03
森下駅,清澄白河駅|浜町駅|菊川駅|両国駅|東日本橋駅,0.67|0.80|0.81|0.94|1.19
勝どき駅,月島駅|築地市場駅|築地駅|新富町駅|竹芝駅,1.00|1.11|1.12|1.35|1.39
築地市場駅,東銀座駅|汐留駅|築地駅|新橋駅|銀座駅,0.51|0.62|0.63|0.74|0.83
汐留駅,新橋駅|築地市場駅|御成門駅|内幸町駅|大門駅,0.35|0.62|0.82|0.83|0.88
大門駅,モノレール浜松町駅|浜松町駅|芝公園駅|御成門駅|竹芝駅,0.23|0.27|0.53|0.57|0.73
赤羽橋駅,芝公園駅|麻布十番駅|三田駅|神谷町駅|御成門駅,0.57|0.64|0.89|0.89|0.99
国立競技場駅,千駄ケ谷駅|信濃町駅|北参道駅|四谷三丁目駅|新宿御苑前駅,0.33|0.52|0.87|1.02|1.04
西新宿五丁目駅,都庁前駅|中野坂上駅|西新宿駅|中野新橋駅|初台駅,0.75|0.87|0.91|0.96|0.97
落合南長崎駅,東長崎駅|中井駅|椎名町駅|新井薬師前駅|下落合駅,0.71|1.05|1.05|1.30|1.39
新江古田駅,江古田駅|新桜台駅|桜台駅|東長崎駅|小竹向原駅,0.59|0.94|1.00|1.17|1.44
練馬春日町駅,豊島園駅|光が丘駅|平和台駅|中村橋駅|富士見台駅,1.26|1.31|1.41|1.65|1.97
光が丘駅,練馬春日町駅|地下鉄赤塚駅|下赤塚駅|地下鉄成増駅|成増駅,1.31|1.88|1.96|2.02|2.16
西馬込駅,馬込駅|池上駅|長原駅|荏原町駅|洗足池駅,1.19|1.67|1.85|1.89|1.96
馬込駅,荏原町駅|中延駅|西大井駅|西馬込駅|旗の台駅,0.90|1.04|1.07|1.19|1.27
戸越駅,戸越銀座駅|荏原中延駅|戸越公園駅|大崎広小路駅|中延駅,0.21|0.64|0.66|1.00|1.03
高輪台駅,白金台駅|五反田駅|品川駅|高輪ゲートウェイ駅|泉岳寺駅,0.79|0.84|0.84|1.03|1.17
三田駅,田町駅|芝公園駅|赤羽橋駅|日の出駅|芝浦ふ頭駅,0.29|0.66|0.89|0.93|1.08
宝町駅,京橋駅|銀座一丁目駅|八丁堀駅|新富町駅|有楽町駅,0.21|0.44|0.51|0.58|0.73
東日本橋駅,馬喰横山駅|馬喰町駅|浜町駅|浅草橋駅|小伝馬町駅,0.19|0.26|0.50|0.59|0.60
本所吾妻橋駅,とうきょうスカイツリー駅|押上〈スカイツリー前〉駅|押上（スカイツリー前）駅|浅草駅|田原町駅,0.47|0.79|0.79|0.82|1.25
芝公園駅,大門駅|赤羽橋駅|モノレール浜松町駅|三田駅|浜松町駅,0.53|0.57|0.65|0.66|0.68
御成門駅,大門駅|神谷町駅|虎ノ門ヒルズ駅|モノレール浜松町駅|芝公園駅,0.57|0.62|0.77|0.77|0.81
内幸町駅,新橋駅|虎ノ門駅|霞ケ関駅|日比谷駅|虎ノ門ヒルズ駅,0.49|0.52|0.62|0.68|0.75
白山駅,本駒込駅|東大前駅|千石駅|千駄木駅|根津駅,0.34|0.68|0.98|1.10|1.30
千石駅,巣鴨駅|本駒込駅|白山駅|駒込駅|新大塚駅,0.81|0.92|0.98|1.02|1.36
西巣鴨駅,新庚申塚駅|西ヶ原四丁目駅|庚申塚駅|滝野川一丁目駅|板橋駅,0.29|0.38|0.45|0.74|0.86
新板橋駅,板橋駅|下板橋駅|北池袋駅|板橋区役所前駅|西巣鴨駅,0.38|0.59|0.89|0.94|0.97
板橋区役所前駅,下板橋駅|大山駅|新板橋駅|板橋駅|板橋本町駅,0.75|0.75|0.94|1.07|1.19
板橋本町駅,本蓮沼駅|中板橋駅|板橋区役所前駅|大山駅|十条駅,0.88|1.14|1.19|1.46|1.51
本蓮沼駅,板橋本町駅|志村坂上駅|中板橋駅|ときわ台駅|志村三丁目駅,0.88|0.99|1.56|1.63|1.76
志村坂上駅,志村三丁目駅|本蓮沼駅|北赤羽駅|浮間舟渡駅|蓮根駅,0.87|0.99|1.56|1.76|1.76
志村三丁目駅,志村坂上駅|蓮根駅|西台駅|浮間舟渡駅|上板橋駅,0.87|0.99|1.52|1.61|1.76
蓮根駅,西台駅|志村三丁目駅|浮間舟渡駅|高島平駅|志村坂上駅,0.54|0.99|1.35|1.68|1.76
西台駅,蓮根駅|高島平駅|志村三丁目駅|浮間舟渡駅|新高島平駅,0.54|1.17|1.52|1.63|1.81
高島平駅,新高島平駅|西台駅|西高島平駅|蓮根駅|東武練馬駅,0.64|1.17|1.41|1.68|2.26
新高島平駅,高島平駅|西高島平駅|西台駅|蓮根駅|下赤塚駅,0.64|0.77|1.81|2.32|2.35
西高島平駅,新高島平駅|高島平駅|成増駅|地下鉄成増駅|下赤塚駅,0.77|1.41|1.97|2.14|2.37
曙橋駅,四谷三丁目駅|牛込柳町駅|若松河田駅|四ツ谷駅|新宿御苑前駅,0.55|0.81|0.87|1.00|1.18
市ヶ谷駅,半蔵門駅|麹町駅|四ツ谷駅|牛込神楽坂駅|曙橋駅,0.82|0.86|0.87|1.01|1.23
小川町駅,淡路町駅|新御茶ノ水駅|神田駅|御茶ノ水駅|秋葉原駅,0.08|0.34|0.51|0.57|0.76
岩本町駅,秋葉原駅|小伝馬町駅|神田駅|馬喰町駅|馬喰横山駅,0.38|0.58|0.62|0.63|0.73
馬喰横山駅,馬喰町駅|東日本橋駅|小伝馬町駅|浜町駅|浅草橋駅,0.14|0.19|0.42|0.63|0.63
浜町駅,東日本橋駅|人形町駅|馬喰横山駅|水天宮前駅|馬喰町駅,0.50|0.58|0.63|0.69|0.75
菊川駅,森下駅|住吉駅|清澄白河駅|錦糸町駅|両国駅,0.81|0.87|0.95|1.22|1.30
西大島駅,大島駅|亀戸駅|住吉駅|亀戸水神駅|錦糸町駅,0.85|0.91|0.95|1.35|1.37
大島駅,西大島駅|東大島駅|亀戸水神駅|亀戸駅|住吉駅,0.85|0.93|1.14|1.18|1.80
東大島駅,大島駅|亀戸水神駅|西大島駅|船堀駅|平井駅,0.93|1.56|1.78|1.80|1.82
船堀駅,一之江駅|東大島駅|西葛西駅|葛西駅|大島駅,1.70|1.80|2.17|2.37|2.67
一之江駅,瑞江駅|船堀駅|葛西駅|篠崎駅|西葛西駅,1.55|1.70|2.67|2.90|3.20
瑞江駅,篠崎駅|一之江駅|船堀駅|葛西駅|新小岩駅,1.51|1.55|3.19|4.01|4.44
篠崎駅,瑞江駅|一之江駅|江戸川駅|小岩駅|新小岩駅,1.51|2.90|3.58|3.61|4.31
三ノ輪橋駅,荒川一中前駅|三ノ輪駅|荒川区役所前駅|南千住駅|荒川二丁目駅,0.27|0.29|0.54|0.71|0.93
荒川一中前駅,荒川区役所前駅|三ノ輪橋駅|三ノ輪駅|荒川二丁目駅|南千住駅,0.27|0.27|0.50|0.67|0.92
荒川区役所前駅,荒川一中前駅|荒川二丁目駅|三ノ輪橋駅|三ノ輪駅|荒川七丁目駅,0.27|0.44|0.54|0.74|0.81
荒川二丁目駅,荒川七丁目駅|荒川区役所前駅|町屋駅|町屋駅前駅|荒川一中前駅,0.38|0.44|0.55|0.56|0.67
荒川七丁目駅,町屋駅前駅|町屋駅|荒川二丁目駅|町屋二丁目駅|荒川区役所前駅,0.29|0.29|0.38|0.71|0.81
町屋駅前駅,町屋駅|荒川七丁目駅|町屋二丁目駅|荒川二丁目駅|東尾久三丁目駅,0.03|0.29|0.42|0.56|0.68
町屋二丁目駅,東尾久三丁目駅|町屋駅|町屋駅前駅|赤土小学校前駅|荒川七丁目駅,0.27|0.42|0.42|0.70|0.71
東尾久三丁目駅,町屋二丁目駅|赤土小学校前駅|熊野前駅|町屋駅|町屋駅前駅,0.27|0.59|0.60|0.67|0.68
熊野前駅,宮ノ前駅|東尾久三丁目駅|足立小台駅|小台駅|赤土小学校前駅,0.42|0.60|0.62|0.71|0.74
宮ノ前駅,小台駅|熊野前駅|荒川遊園地前駅|足立小台駅|赤土小学校前駅,0.29|0.42|0.65|0.70|0.93
小台駅,宮ノ前駅|荒川遊園地前駅|熊野前駅|荒川車庫前駅|尾久駅,0.29|0.36|0.71|0.83|0.83
荒川遊園地前駅,小台駅|荒川車庫前駅|尾久駅|宮ノ前駅|梶原駅,0.36|0.46|0.56|0.65|0.93
荒川車庫前駅,荒川遊園地前駅|尾久駅|梶原駅|上中里駅|小台駅,0.46|0.47|0.47|0.74|0.83
梶原駅,上中里駅|荒川車庫前駅|栄町駅|西ケ原駅|尾久駅,0.46|0.47|0.48|0.73|0.75
栄町駅,王子駅前駅|飛鳥山駅|王子駅|梶原駅|上中里駅,0.40|0.43|0.46|0.48|0.52
王子駅前駅,王子駅|飛鳥山駅|栄町駅|滝野川一丁目駅|西ケ原駅,0.07|0.29|0.40|0.65|0.83
飛鳥山駅,王子駅前駅|王子駅|滝野川一丁目駅|栄町駅|西ケ原駅,0.29|0.34|0.37|0.43|0.65
滝野川一丁目駅,飛鳥山駅|西ヶ原四丁目駅|西ケ原駅|王子駅前駅|王子駅,0.37|0.40|0.64|0.65|0.69
西ヶ原四丁目駅,西巣鴨駅|滝野川一丁目駅|新庚申塚駅|庚申塚駅|飛鳥山駅,0.38|0.40|0.41|0.61|0.76
新庚申塚駅,庚申塚駅|西巣鴨駅|西ヶ原四丁目駅|巣鴨新田駅|滝野川一丁目駅,0.21|0.29|0.41|0.69|0.80
庚申塚駅,新庚申塚駅|西巣鴨駅|巣鴨新田駅|西ヶ原四丁目駅|大塚駅前駅,0.21|0.45|0.49|0.61|0.89
巣鴨新田駅,大塚駅前駅|大塚駅|庚申塚駅|新庚申塚駅|向原駅,0.46|0.46|0.49|0.69|0.77
大塚駅前駅,大塚駅|巣鴨新田駅|向原駅|新大塚駅|庚申塚駅,0.07|0.46|0.50|0.66|0.89
向原駅,大塚駅|大塚駅前駅|新大塚駅|東池袋四丁目駅|東池袋駅,0.43|0.50|0.58|0.60|0.60
東池袋四丁目駅,東池袋駅|都電雑司ヶ谷駅|向原駅|鬼子母神前駅|雑司が谷駅,0.07|0.21|0.60|0.71|0.73
都電雑司ヶ谷駅,東池袋四丁目駅|東池袋駅|鬼子母神前駅|雑司が谷駅|向原駅,0.21|0.21|0.51|0.53|0.81
鬼子母神前駅,雑司が谷駅|学習院下駅|都電雑司ヶ谷駅|東池袋四丁目駅|東池袋駅,0.02|0.51|0.51|0.71|0.73
学習院下駅,面影橋駅|雑司が谷駅|鬼子母神前駅|目白駅|高田馬場駅,0.40|0.49|0.51|0.73|0.84
面影橋駅,学習院下駅|早稲田駅|西早稲田駅|雑司が谷駅|鬼子母神前駅,0.40|0.69|0.71|0.81|0.82
青井駅,綾瀬駅|五反野駅|北綾瀬駅|六町駅|小菅駅,1.14|1.17|1.21|1.47|1.57
六町駅,北綾瀬駅|青井駅|五反野駅|綾瀬駅|梅島駅,1.27|1.47|2.39|2.54|2.56
竹芝駅,浜松町駅|モノレール浜松町駅|日の出駅|大門駅|汐留駅,0.46|0.51|0.61|0.73|1.03
日の出駅,竹芝駅|浜松町駅|モノレール浜松町駅|芝浦ふ頭駅|三田駅,0.61|0.72|0.75|0.82|0.93
芝浦ふ頭駅,日の出駅|田町駅|三田駅|竹芝駅|浜松町駅,0.82|1.03|1.08|1.42|1.51
お台場海浜公園駅,東京テレポート駅|青海駅|台場駅|東京国際クルーズターミナル駅|東京ビッグサイト駅,0.25|0.61|0.78|1.05|1.14
台場駅,東京国際クルーズターミナル駅|東京テレポート駅|お台場海浜公園駅|青海駅|テレコムセンター駅,0.52|0.70|0.78|0.89|1.17
東京国際クルーズターミナル駅,台場駅|テレコムセンター駅|青海駅|東京テレポート駅|お台場海浜公園駅,0.52|0.70|0.80|0.85|1.05
テレコムセンター駅,東京国際クルーズターミナル駅|青海駅|東京テレポート駅|台場駅|お台場海浜公園駅,0.70|0.80|1.10|1.17|1.36
青海駅,東京テレポート駅|お台場海浜公園駅|テレコムセンター駅|東京国際クルーズターミナル駅|台場駅,0.38|0.61|0.80|0.80|0.89
東京ビッグサイト駅,国際展示場駅|有明駅|青海駅|有明テニスの森駅|お台場海浜公園駅,0.47|0.53|1.10|1.11|1.14
有明駅,国際展示場駅|東京ビッグサイト駅|有明テニスの森駅|東雲駅|市場前駅,0.15|0.53|0.72|1.23|1.41
有明テニスの森駅,国際展示場駅|市場前駅|有明駅|新豊洲駅|東京ビッグサイト駅,0.66|0.70|0.72|0.98|1.11
市場前駅,新豊洲駅|有明テニスの森駅|豊洲駅|国際展示場駅|有明駅,0.52|0.70|1.33|1.36|1.41
新豊洲駅,市場前駅|豊洲駅|有明テニスの森駅|東雲駅|国際展示場駅,0.52|0.82|0.98|1.56|1.59
多摩センター駅,小田急多摩センター駅|京王多摩センター駅|松が谷駅|唐木田駅|大塚・帝京大学駅,0.19|0.20|0.89|1.28|1.57
松が谷駅,京王多摩センター駅|大塚・帝京大学駅|小田急多摩センター駅|多摩センター駅|中央大学・明星大学駅,0.74|0.77|0.78|0.89|1.67
大塚・帝京大学駅,松が谷駅|中央大学・明星大学駅|京王多摩センター駅|小田急多摩センター駅|多摩センター駅,0.77|0.90|1.47|1.51|1.57
中央大学・明星大学駅,多摩動物公園駅|大塚・帝京大学駅|程久保駅|松が谷駅|南平駅,0.87|0.90|1.47|1.67|2.05
程久保駅,高幡不動駅|多摩動物公園駅|中央大学・明星大学駅|南平駅|百草園駅,0.82|0.90|1.47|1.69|1.87
万願寺駅,高幡不動駅|甲州街道駅|百草園駅|矢川駅|程久保駅,1.17|1.25|1.84|1.85|1.98
甲州街道駅,柴崎体育館駅|万願寺駅|日野駅|高幡不動駅|立川南駅,1.24|1.25|1.38|1.84|2.00
柴崎体育館駅,立川南駅|立川駅|立川北駅|甲州街道駅|西国立駅,0.79|1.05|1.15|1.24|1.41
立川南駅,立川駅|立川北駅|柴崎体育館駅|西国立駅|高松駅,0.26|0.38|0.79|1.05|1.56
立川北駅,立川駅|立川南駅|柴崎体育館駅|高松駅|西国立駅,0.18|0.38|1.15|1.18|1.21
高松駅,立飛駅|泉体育館駅|立川北駅|立川駅|砂川七番駅,0.63|1.11|1.18|1.33|1.52
立飛駅,泉体育館駅|高松駅|砂川七番駅|立川北駅|立川駅,0.49|0.63|0.96|1.74|1.86
泉体育館駅,立飛駅|砂川七番駅|高松駅|玉川上水駅|東大和市駅,0.49|0.52|1.11|1.47|2.05
砂川七番駅,泉体育館駅|立飛駅|玉川上水駅|高松駅|桜街道駅,0.52|0.96|0.96|1.52|1.75
桜街道駅,上北台駅|玉川上水駅|東大和市駅|砂川七番駅|泉体育館駅,0.76|0.79|1.73|1.75|2.26
上北台駅,桜街道駅|玉川上水駅|東大和市駅|砂川七番駅|武蔵大和駅,0.76|1.55|2.20|2.51|2.80
モノレール浜松町駅,浜松町駅|大門駅|竹芝駅|芝公園駅|日の出駅,0.05|0.23|0.51|0.65|0.75
天王洲アイル駅,新馬場駅|北品川駅|品川駅|品川シーサイド駅|青物横丁駅,0.96|1.04|1.32|1.47|1.54
大井競馬場前駅,立会川駅|鮫洲駅|大森海岸駅|流通センター駅|品川シーサイド駅,0.83|1.19|1.34|1.47|1.52
流通センター駅,昭和島駅|平和島駅|大森海岸駅|大井競馬場前駅|大森町駅,1.25|1.32|1.38|1.47|1.85
昭和島駅,流通センター駅|平和島駅|大森町駅|整備場駅|梅屋敷駅,1.25|1.62|1.63|1.75|2.00
整備場駅,天空橋駅|穴守稲荷駅|大鳥居駅|昭和島駅|羽田空港第3ターミナル駅,0.69|0.81|1.30|1.75|1.82
新整備場駅,羽田空港第1ターミナル駅|羽田空港第1・第2ターミナル駅|羽田空港第2ターミナル駅|羽田空港第3ターミナル駅|天空橋駅,0.73|0.78|0.89|1.65|3.02
羽田空港第1ターミナル駅,羽田空港第1・第2ターミナル駅|羽田空港第2ターミナル駅|新整備場駅|羽田空港第3ターミナル駅|天空橋駅,0.14|0.35|0.73|1.54|2.75
羽田空港第2ターミナル駅,羽田空港第1・第2ターミナル駅|羽田空港第1ターミナル駅|新整備場駅|羽田空港第3ターミナル駅|天空橋駅,0.21|0.35|0.89|1.89|3.05
東雲駅,辰巳駅|有明駅|国際展示場駅|有明テニスの森駅|新豊洲駅,0.75|1.23|1.36|1.40|1.56
国際展示場駅,有明駅|東京ビッグサイト駅|有明テニスの森駅|お台場海浜公園駅|市場前駅,0.15|0.47|0.66|1.28|1.36
東京テレポート駅,お台場海浜公園駅|青海駅|台場駅|東京国際クルーズターミナル駅|テレコムセンター駅,0.25|0.38|0.70|0.85|1.10
品川シーサイド駅,青物横丁駅|鮫洲駅|新馬場駅|大井町駅|天王洲アイル駅,0.60|0.77|1.25|1.33|1.47
新柴又駅,柴又駅|京成小岩駅|京成高砂駅|小岩駅|京成金町駅,0.70|1.06|1.13|1.99|2.10
赤土小学校前駅,東尾久三丁目駅|町屋二丁目駅|新三河島駅|熊野前駅|田端駅,0.59|0.70|0.73|0.74|0.87
足立小台駅,熊野前駅|宮ノ前駅|小台駅|扇大橋駅|東尾久三丁目駅,0.62|0.70|0.90|1.03|1.09
