name,st,min,near,use,year,floors,area,src,addr
東京海洋大学(品川)国際混住寮,天王洲アイル,7,天王洲アイル:7|品川:13|北品川:14,分譲,2026,10,12284,建築物環境計画書,港区港南4丁目29番1の一部
プライムアーバン学芸大学II,学芸大学,2,学芸大学:2|祐天寺:15,賃貸,,,,とどまるマンション,目黒区鷹番3丁目
ピアース学芸大学レジデンス,学芸大学,5,学芸大学:5,分譲,2025,8,3672,建築物環境計画書,目黒区鷹番一丁目64-1(地名地番)
The目黒 四季レジデンス,学芸大学,6,学芸大学:6|祐天寺:8,分譲,,,,とどまるマンション,目黒区中央町2丁目
東建マンション学芸大,学芸大学,6,学芸大学:6|祐天寺:8,分譲,,,,とどまるマンション,目黒区中央町2丁目
クリオ学芸大学ザ・クラシック,学芸大学,7,学芸大学:7,分譲,2023,10,1957,建築物環境計画書,世田谷区下馬六丁目79番-4の一部、-35、-36、-37
ブランシエスタ目黒中央町,学芸大学,8,学芸大学:8|祐天寺:12,賃貸,2025,7,7049,建築物環境計画書,目黒区中央町一丁目591番14
ピアース碑文谷五丁目,学芸大学,9,学芸大学:9|都立大学:10,分譲,2023,5,2454,建築物環境計画書,目黒区碑文谷5丁目66番2
アルス目黒学芸大学弐番館,学芸大学,10,学芸大学:10|西小山:15|武蔵小山:15,分譲,,,,とどまるマンション,目黒区目黒本町2丁目
プライムアーバン学芸大学パークフロント,学芸大学,10,学芸大学:10|西小山:15|武蔵小山:15,賃貸,,,,とどまるマンション,目黒区目黒本町二丁目
プラウドフラット学芸大学,学芸大学,10,学芸大学:10|西小山:15|武蔵小山:15,賃貸,,,,とどまるマンション,目黒区目黒本町二丁目
プラウドフラット学芸大学II,学芸大学,10,学芸大学:10|西小山:15|武蔵小山:15,賃貸,,,,とどまるマンション,目黒区目黒本町二丁目
ディアナコート学芸大学翠景,学芸大学,12,学芸大学:12,分譲,2025,6,3144,建築物環境計画書,世田谷区野沢3丁目142番3、142番10(地名地番)
パークホームズ練馬富士見台ステーションゲート,富士見台,4,富士見台:4|中村橋:11|練馬高野台:14,分譲,2022,7,5333,建築物環境計画書,練馬区貫井三丁目12-4
ルフォン中野上鷺宮壱番館,富士見台,8,富士見台:8|下井草:9|中村橋:15,分譲,,,,とどまるマンション,中野区上鷺宮5丁目
ルフォン中野上鷺宮弐番館,富士見台,8,富士見台:8|下井草:9|中村橋:15,分譲,,,,とどまるマンション,中野区上鷺宮5丁目
