station_name,pref_cd,address,post_title,post_name,prefecture
東京,13,東京都千代田区丸の内一丁目9-1,東京駅,東京,東京都
上野,13,東京都台東区上野七丁目1-1,上野駅,上野,東京都
池袋,13,東京都豊島区西池袋一丁目1-21,池袋駅,池袋,東京都
北池袋,13,豊島区池袋本町１-３６-６,北池袋駅,北池袋,東京都
下板橋,13,豊島区池袋本町４-４３-１１,下板橋駅,下板橋,東京都
大山,13,板橋区大山町４-１,大山駅,大山,東京都
中板橋,13,板橋区弥生町３３-１,中板橋駅,中板橋,東京都
ときわ台,13,板橋区常盤台１-４３-１,ときわ台駅,ときわ台,東京都
上板橋,13,板橋区上板橋２-３６-７,上板橋駅,上板橋,東京都
東武練馬,13,板橋区徳丸２-２-１４,東武練馬駅,東武練馬,東京都
下赤塚,13,板橋区赤塚新町１-２３-１,下赤塚駅,下赤塚,東京都
成増,13,板橋区成増２-１３-１,成増駅,成増,東京都
浅草,13,東京都台東区花川戸一丁目4-1,浅草駅,浅草,東京都
とうきょうスカイツリー,13,墨田区押上１丁目,とうきょうスカイツリー駅,とうきょうスカイツリー,東京都
押上〈スカイツリー前〉,13,墨田区押上一丁目,押上〈スカイツリー前〉駅,押上〈スカイツリー前〉,東京都
曳舟,13,墨田区東向島２丁目,曳舟駅,曳舟,東京都
東向島,13,墨田区東向島４丁目,東向島駅,東向島,東京都
鐘ヶ淵,13,東京都墨田区墨田5丁目,鐘ヶ淵駅,鐘ヶ淵,東京都
堀切,13,足立区千住曙町,堀切駅,堀切,東京都
牛田,13,足立区千住曙町,牛田駅,牛田,東京都
北千住,13,足立区千住旭町,北千住駅,北千住,東京都
小菅,13,足立区足立２丁目,小菅駅,小菅,東京都
五反野,13,足立区足立３丁目,五反野駅,五反野,東京都
梅島,13,足立区梅田７丁目,梅島駅,梅島,東京都
西新井,13,足立区西新井栄町２丁目,西新井駅,西新井,東京都
竹ノ塚,13,足立区竹の塚６丁目,竹ノ塚駅,竹ノ塚,東京都
曳舟,13,墨田区東向島２丁目,曳舟駅,曳舟,東京都
小村井,13,墨田区文花２-２０-１,小村井駅,小村井,東京都
東あずま,13,墨田区立花４-２３-８,東あずま駅,東あずま,東京都
亀戸水神,13,江東区亀戸８-５-１,亀戸水神駅,亀戸水神,東京都
亀戸,13,江東区亀戸５丁目,亀戸駅,亀戸,東京都
西新井,13,足立区西新井栄町２丁目,西新井駅,西新井,東京都
大師前,13,足立区西新井１-３-１,大師前駅,大師前,東京都
池袋,13,東京都豊島区南池袋一丁目28-2,池袋駅,池袋,東京都
椎名町,13,豊島区長崎１-１-２２,椎名町駅,椎名町,東京都
東長崎,13,豊島区長崎５-１-１,東長崎駅,東長崎,東京都
江古田,13,練馬区旭丘１-７８-７,江古田駅,江古田,東京都
桜台,13,練馬区桜台１-５-１,桜台駅,桜台,東京都
練馬,13,練馬区練馬１-３-５,練馬駅,練馬,東京都
中村橋,13,練馬区中村北４-２-１,中村橋駅,中村橋,東京都
富士見台,13,練馬区貫井３-７-４,富士見台駅,富士見台,東京都
練馬高野台,13,練馬区高野台１-７-２７,練馬高野台駅,練馬高野台,東京都
石神井公園,13,練馬区石神井町３-２３-１０,石神井公園駅,石神井公園,東京都
大泉学園,13,練馬区東大泉１-２９-７,大泉学園駅,大泉学園,東京都
保谷,13,西東京市東町３-１４-３０,保谷駅,保谷,東京都
ひばりヶ丘,13,東京都西東京市住吉町三丁目,ひばりヶ丘駅,ひばりヶ丘,東京都
東久留米,13,東久留米市東本町１-８,東久留米駅,東久留米,東京都
清瀬,13,清瀬市元町１-２-４,清瀬駅,清瀬,東京都
秋津,13,東村山市秋津町５-７-８,秋津駅,秋津,東京都
小竹向原,13,東京都練馬区小竹町二丁目16-15,小竹向原駅,小竹向原,東京都
新桜台,13,練馬区桜台１-２８-１１,新桜台駅,新桜台,東京都
練馬,13,練馬区練馬１-３-５,練馬駅,練馬,東京都
練馬,13,練馬区練馬１-３-５,練馬駅,練馬,東京都
豊島園,13,練馬区練馬４-１６-５,豊島園駅,豊島園,東京都
多摩湖,13,東村山市多摩湖町３-１５-１８,多摩湖駅,多摩湖,東京都
西武新宿,13,新宿区歌舞伎町１-３０-１,西武新宿駅,西武新宿,東京都
高田馬場,13,東京都新宿区高田馬場一丁目35-2,高田馬場駅,高田馬場,東京都
下落合,13,新宿区下落合１-１６-１,下落合駅,下落合,東京都
中井,13,新宿区中落合１-１９-１,中井駅,中井,東京都
新井薬師前,13,中野区上高田５-４３-２０,新井薬師前駅,新井薬師前,東京都
沼袋,13,中野区沼袋１-３５-１,沼袋駅,沼袋,東京都
野方,13,中野区野方６-３-３,野方駅,野方,東京都
都立家政,13,中野区鷺宮１-１６-１,都立家政駅,都立家政,東京都
鷺ノ宮,13,中野区鷺宮３-１５-１,鷺ノ宮駅,鷺ノ宮,東京都
下井草,13,杉並区下井草２-４４-１０,下井草駅,下井草,東京都
