検索条件
"・地域：都内全域"
"・届出状態：完了"
"・用途：住宅等"
"・建物番号：指定なし"
"・建築主：指定なし"
"・設計者：指定なし"
"・環境性能：指定なし"
"・再エネ設備：指定なし"
"・再エネ電気：指定なし"
"・EV充電器：指定なし"


検索結果：1224件　CSV出力件数：1224件（CSV出力件数は建物の件数です。）

建物番号,地域,建物名,所在地,建築主,延べ面積,階数、構造,届出状況,工事完了(予定)年月,用途,UA値,ERR（住宅）,用途,PAL*低減率,ERR,基準年度,太陽光発電,太陽熱利用,地中熱利用,その他,合計値,再エネ電気,EV充電器,建物の断熱性,設備の省エネ性,再エネ設備・電気(太陽光発電・太陽熱),維持管理・劣化対策(建物の長寿命化),みどり
"230399","港区","ブランズ白金台五丁目","港区白金台5丁目253-5","東急不動産株式会社　代表取締役社長　社長執行役員　星野　浩明","3760.71","地上11階、地下0階、RC造","計画書（完了時）","2026-02-06","分譲住宅","0.56","30.7","","","","2020","4.2","0.0","0.0","0.0","4.2","導入しない","あり","3","3","2","1","1"
"240384","調布市","（仮称）調布市菊野台一丁目計画　新築工事","調布市菊野台一丁目33番16.17　36番8.9.10.14","日神不動産株式会社　代表取締役　坂入　尚","2591.67","地上5階、地下0階、RC造","計画書（完了時）","2026-02-05","賃貸住宅","0.60","29.0","","","","2024","0.0","0.0","0.0","0.0","0.0","導入しない","なし","3","3","1","1","1"
"230598","大田区","ザ・ライオンズフォーシア蒲田","大田区西蒲田八丁目21番3、4","株式会社 大京　代表取締役社長　細川　展久","2621.16","地上15階、地下0階、RC造","計画書（完了時）","2026-02-05","賃貸住宅","0.59","24.5","","","","2020","0.0","0.0","0.0","0.0","0.0","導入しない","なし","3","3","1","2","1"
"240028","江戸川区","エクセレントシティ瑞江ザ・テラス","江戸川区瑞江一丁目27番17、18","新日本建設株式会社　代表取締役　髙見 克司","5841.30","地上10階、地下0階、RC造","計画書（完了時）","2026-02-05","分譲住宅","0.58","31.9","","","","2024","9.9","0.0","0.0","0.0","9.9","導入しない","あり","3","3","2","3","3"
"240612","世田谷区","デュオフラッツ千歳船橋","世田谷区桜丘2丁目2940番1","株式会社フージャースアセットマネジメント代表取締役社長　小川栄一","2284.95","地上4階、地下0階、RC造","計画書（完了時）","2026-02-04","賃貸住宅","0.57","24.4","","","","2024","0.0","0.0","0.0","0.0","0.0","導入しない","なし","3","3","1","1","1"
"220536","渋谷区","ザ・パークハウス 代々木大山レジデンス（Ａ敷地）","渋谷区大山町1083-1,1083-2の一部,1073-41の一部,1067-207の一部,1077-5の一部","三菱地所レジデンス株式会社　取締役社長　宮島　正治","11665.34","地上4階、地下1階、RC造","計画書（完了時）","2026-02-04","分譲住宅","0.51","23.1","","","","2020","5.1","0.0","0.0","0.0","5.1","導入しない","あり","3","3","2","3","3"
"220535","渋谷区","ザ・パークハウス 代々木大山レジデンス（Ｂ敷地）","渋谷区大山町1083-2の一部,1073-41の一部,1067-207の一部","三菱地所レジデンス株式会社　取締役社長　宮島　正治","9130.45","地上4階、地下1階、RC造","計画書（完了時）","2026-02-04","分譲住宅","0.43","25.4","","","","2020","0.0","0.0","0.0","0.0","0.0","導入しない","なし","3","3","1","3","3"
"230512","豊島区","豊島区巣鴨４丁目計画","豊島区巣鴨４丁目15-3，15-6，16-2，16-3","株式会社フージャースアセットマネジメント 代表取締役社長　藤井 幸雄","3981.83","地上9階、地下0階、RC造","計画書（完了時）","2026-02-02","賃貸住宅","0.66","15.6","","","","2020","0.0","0.0","0.0","0.0","0.0","導入しない","なし","2","3","1","3","2"
"240244","品川区","（仮称）大井四丁目プロジェクト新築工事","品川区大井4丁目3353番5","第一生命保険株式会社　代表取締役社長 隅野 俊亮","2485.78","地上9階、地下0階、木造、RC造","計画書（完了時）","2026-02-02","賃貸住宅","0.85","15.4","","","","2024","0.0","0.0","0.0","0.0","0.0","導入しない","なし","2","3","1","2","1"
"240193","江戸川区","コンフォリア中葛西","江戸川区中葛西五丁目20番5","株式会社アーバネットコーポレーション代表取締役社長　田中　敦","2149.12","地上7階、地下0階、RC造","計画書（完了時）","2026-01-30","分譲賃貸混在","0.94","-44.8","","","","2024","0.0","0.0","0.0","0.0","0.0","導入しない","あり","1","1","1","2","2"
"240193","江戸川区","コンフォリア中葛西","江戸川区中葛西五丁目20番5","株式会社アーバネットコーポレーション代表取締役社長　田中　敦","2149.12","地上7階、地下0階、RC造","計画書（完了時）","2026-01-30","分譲賃貸混在","0.94","-44.8","","","","2024","0.0","0.0","0.0","0.0","0.0","導入しない","あり","1","1","1","2","2"
"220621","品川区","東中延一丁目 11 番地区防災街区整備事業に係る防災施設建築物新築工事","品川区東中延一丁目 382 番 7、382番 17、382 番20、382 番21、382 番 22、387 番 4","東中延一丁目 11 番地区防災街区整備事業組合 理事長 漆原 諄佶","4170.14","地上14階、地下1階、RC造","計画書（完了時）","2026-01-29","賃貸住宅","0.58","23.8","","","","2020","0.0","0.0","0.0","0.0","0.0","導入しない","なし","3","3","1","3","2"
"220648","大田区","パークタワー大森","大田区大森北一丁目30番17","三井不動産レジデンシャル株式会社　代表取締役社長　嘉村　徹京浜急行電鉄株式会社　取締役社長　川俣　幸宏","8272.85","地上23階、地下0階、RC造","計画書（完了時）","2026-01-28","分譲住宅","0.59","28.1","","","","2020","0.0","0.0","0.0","0.0","0.0","導入しない","なし","3","3","1","3","2"
"230074","港区","表参道 Grid Tower","港区南青山三丁目8番35号","MABD 合同会社　代表社員MABD 一般社団法人　 職務執行者　三品 貴仙","45965.01","地上38階、地下3階、SRC造、RC造、CFT造","計画書（完了時）","2026-01-27","賃貸住宅","0.54","34.4","","","","2020","8.6","0.0","0.0","0.0","8.6","導入しない","あり","3","3","2","3","3"
"230600","北区","アトラス北赤羽","北区浮間三丁目5番13（地番）","旭化成不動産レジデンス株式会社 代表取締役　高橋 謙治","5764.76","地上8階、地下0階、RC造","計画書（完了時）","2026-01-26","分譲住宅","0.55","30.4","","","","2020","0.0","0.0","0.0","0.0","0.0","導入しない","なし","3","3","1","3","2"
"230737","葛飾区","リビオ亀有ステーションプレミア","葛飾区亀有３丁目27番2号","日鉄興和不動産株式会社　代表取締役　三輪　正浩","2682.58","地上15階、地下0階、RC造","計画書（完了時）","2026-01-23","分譲住宅","0.58","26.6","","","","2020","3.3","0.0","0.0","0.0","3.2","導入しない","なし","3","3","2","3","1"
"230657","昭島市","プレミスト昭島 モリパークグラン","昭島市代官山二丁目588番2　他5筆","大和ハウス工業株式会社　代表取締役社長　大友　浩嗣","23212.73","地上14階、地下0階、RC造","計画書（完了時）","2026-01-23","分譲住宅","0.60","26.8","","","","2020","0.0","0.0","0.0","0.0","0.0","導入しない","なし","3","3","1","3","2"
"230618","江東区","ルーブル南砂町弐番館　","江東区北砂二丁目1番31号","株式会社ＴＦＤコーポレーション　代表取締役　船間　隆行","1857.44","地上11階、地下0階、RC造","計画書（完了時）","2026-01-21","分譲住宅","1.28","-4.9","","","","2020","0.0","0.0","0.0","0.0","0.0","導入しない","なし","1","1","1","3","1"
"230489","板橋区","ジオ板橋浮間舟渡","板橋区舟渡1丁目13-2、3、4、5、7、14 全6筆（地番）","阪急阪神不動産株式会社 代表取締役社長 福井康樹 西日本鉄道株式会社 代表取締役社長執行役員 林田浩一 総合地所株式会社 代表取締役社長 梅津英司","47886.05","地上7階、地下1階、RC造","計画書（完了時）","2026-01-21","分譲住宅","0.62","25.1","","","","2020","0.0","0.0","0.0","0.0","0.0","導入しない","なし","3","3","1","3","2"
"230700","荒川区","プレディアコート西日暮里","荒川区東尾久四丁目11番15号","JR西日本プロパティーズ株式会社　代表取締役　小山 健介","2945.29","地上14階、地下0階、RC造","計画書（完了時）","2026-01-19","賃貸住宅","0.84","9.1","","","","2020","0.0","0.0","0.0","0.0","0.0","導入しない","なし","2","3","1","2","1"
"230579","江東区","ＴＲＡＤＩＳ　森下Ⅱ","江東区新大橋２丁目１番地２、他４筆","塩田建設株式会社　代表取締役　福地　孝夫","2999.00","地上15階、地下0階、RC造","計画書（完了時）","2026-01-16","賃貸住宅","1.40","4.6","","","","2020","0.0","0.0","0.0","0.0","0.0","導入しない","なし","1","2","1","1","1"
"230157","大田区","プライム荏原町","大田区北馬込１丁目17番15号","京浜急行電鉄株式会社 取締役社長　川俣　幸宏","2976.92","地上7階、地下0階、RC造","計画書（完了時）","2026-01-16","分譲住宅","0.74","20.5","","","","2020","0.0","0.0","0.0","0.0","0.0","導入しない","なし","3","3","1","3","1"
"230487","練馬区","ザ・パークハビオ 江古田","練馬区旭丘1丁目74-1","三菱地所レジデンス株式会社　代表取締役　宮島　正治","4339.13","地上14階、地下0階、RC造","計画書（完了時）","2026-01-14","賃貸住宅","0.59","21.8","","","","2020","0.0","0.0","0.0","0.0","0.0","導入しない","なし","3","3","1","1","1"
"240020","足立区","ガーラ・レジデンス梅島ベルモント公園","足立区梅島２丁目１７番３,１７番４","株式会社　ＦＪネクストレジデンシャル  代表取締役　福島　英次","5076.99","地上8階、地下0階、RC造","計画書（完了時）","2026-01-13","分譲住宅","0.77","21.3","","","","2024","0.0","0.0","0.0","0.0","0.0","導入しない","なし","2","3","1","3","1"
"230275","中野区","ザ・パークハウス 東中野プレイス","中野区東中野5丁目36番5、36番6（地番）","三菱地所レジデンス株式会社 代表取締役 取締役社長 宮島　正治","6057.67","地上19階、地下0階、RC造","計画書（完了時）","2026-01-09","分譲住宅","0.47","24.3","","","","2020","3.3","0.0","0.0","0.0","3.3","導入しない","あり","3","3","2","3","2"
"240106","葛飾区","ガーラ・プレシャス四ツ木","葛飾区東四つ木四丁目２番１６号","株式会社　ＦＪネクスト　代表取締役　肥田　幸春","2975.40","地上7階、地下0階、RC造","計画書（完了時）","2026-01-09","分譲住宅","1.23","4.2","","","","2024","0.0","0.0","0.0","0.0","0.0","導入しない","なし","1","2","1","2","1"
"240112","墨田区","（仮称）堤通1丁目マンション　新築工事","墨田区堤通１丁目３７番地３８","塩田建設株式会社　代表取締役　福地　孝夫","3847.24","地上5階、地下0階、RC造","計画書（完了時）","2026-01-05","分譲住宅","1.08","6.8","","","","2024","0.0","0.0","0.0","0.0","0.0","導入しない","なし","1","3","1","1","1"
"240208","北区","ミレーネ滝野川","北区滝野川1丁目88番5号","千歳コーポレーション株式会社　取締役社長　永田裕之","4681.27","地上5階、地下0階、RC造","計画書（完了時）","2026-01-05","賃貸住宅","0.79","21.3","","","","2024","0.0","0.0","0.0","0.0","0.0","導入しない","なし","2","3","1","1","1"
"230716","豊島区","グリーンヒルズ南大塚","豊島区南大塚二丁目2番14号","株式会社  小松原工務店   代表取締役社長   小松原　芳彦","2999.50","地上7階、地下0階、RC造","計画書（完了時）","2025-12-25","賃貸住宅","0.83","10.8","","","","2020","0.0","0.0","0.0","0.0","0.0","導入しない","なし","2","3","1","2","2"
"240048","中野区","野方レジデンス","中野区野方二丁目63番14号","住協建設株式会社　代表取締役　 安永 久人","2561.68","地上8階、地下0階、RC造","計画書（完了時）","2025-12-23","分譲住宅","1.10","1.9","","","","2024","0.0","0.0","0.0","0.0","0.0","導入しない","なし","1","2","1","1","1"
"230190","渋谷区","プレミスト代々木大山","渋谷区大山町17番25","大和ハウス工業株式会社 代表取締役　大友　浩嗣","3278.94","地上9階、地下0階、RC造","計画書（完了時）","2025-12-19","分譲住宅","0.60","29.0","","","","2020","1.2","0.0","0.0","0.0","1.2","導入しない","あり","3","3","2","3","2"
"240085","立川市","ローレルコート立川錦町","立川市錦町六丁目43番1(地番)","近鉄不動産株式会社　代表取締役社長　倉橋 孝壽","6225.40","地上5階、地下0階、RC造","計画書（完了時）","2025-12-16","分譲住宅","0.60","29.4","","","","2024","5.1","0.0","0.0","0.0","5.1","導入しない","なし","3","3","2","3","2"
"230538","千代田区","(仮称)神田猿楽町プロジェクト新築工事","千代田区神田猿楽町1-2-1(住居表示)","日本出版貿易株式会社　代表取締役社長　綾森豊彦","3971.30","地上14階、地下0階、RC造","計画書（完了時）","2025-12-16","賃貸住宅","0.87","4.9","","","","2020","0.0","0.0","0.0","0.0","0.0","導入しない","あり","2","2","1","2","1"
"240119","足立区","ﾛｲｼﾞｪﾝﾄ西新井","足立区西新井5丁目24-7","大和ハウス工業株式会社　代表取締役社長　芳井敬一","3080.22","地上6階、地下0階、RC造","計画書（完了時）","2025-12-15","賃貸住宅","0.60","25.9","","","","2024","8.0","0.0","0.0","0.0","8.0","導入しない","あり","3","3","2","2","1"
"230557","江東区","ザ・パークハウス 亀戸九丁目","江東区亀戸9丁目303","三菱地所レジデンス株式会社代表取締役　取締役社長　　　　宮島　正治","7715.90","地上13階、地下0階、RC造","計画書（完了時）","2025-12-08","分譲住宅","0.47","32.4","","","","2020","5.4","0.0","0.0","0.0","5.3","導入しない","なし","3","3","2","3","3"
"230653","八王子市","（仮称）寺町澤田ビル","八王子市寺町４４－４、４５－４","株式会社　澤田澤吉商店　代表取締役　澤田　秀光","3416.57","地上11階、地下0階、RC造","計画書（完了時）","2025-12-08","賃貸住宅","0.60","33.0","","","","2020","26.0","0.0","0.0","0.0","26.0","導入しない","あり","3","3","3","2","1"
"230567","足立区","ヴェレーナ 西新井","足立区栗原一丁目19-2,19-3,19-10, 19-13","大和地所レジデンス株式会社　代表取締役社長　下村　俊二","4777.41","地上10階、地下0階、RC造","計画書（完了時）","2025-12-08","分譲住宅","0.87","9.0","","","","2020","0.0","0.0","0.0","0.0","0.0","導入しない","あり","2","3","1","3","2"
"230658","足立区","オープンレジデンシア北綾瀬コート","足立区谷中二丁目20-5","株式会社ｵｰﾌﾟﾝﾊｳｽ･ﾃﾞｨﾍﾞﾛｯﾌﾟﾒﾝﾄ　代表取締役　福岡良介","4326.74","地上8階、地下0階、RC造","計画書（完了時）","2025-12-02","分譲住宅","0.67","18.5","","","","2020","0.0","0.0","0.0","0.0","0.0","導入しない","なし","3","3","1","3","1"
